,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tên vật tư,Mã,Mã vật tư tính giá,Đvt,Đvt hộp,Hệ số hộp,Đvt M2,Hế số M2,Loại vật tư,Mã nhóm mẹ,Hãng sản xuất,Nhóm hàng,Sản phẩm,Thuế TTĐB,Đơn vị cơ sở,Quy cách,Quy cách Code,Id,Ngày tạo mới
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.8,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13429,8/12/2017
Gạch 25x40 MS 2403T Loại 1,01.L1.2540.2403T.CT10,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13430,1/8/2018
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.CT4,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13431,11/24/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.CT5,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13432,10/14/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.CT6,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13433,10/14/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.CT7,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13434,10/14/2017
Gạch 25x40 MS 2403T loại 1,01.L1.2540.2403T.CT8,01.L1.2540.2403T,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13435,11/24/2017
Gạch 25x40 MS 2403V Loại 1,01.L1.2540.2403V.0,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13436,4/12/2017
Gạch 25x40 MS 2403V Loại 1,01.L1.2540.2403V.1,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13437,8/27/2017
Gạch 25x40 MS 2403V Loại 1,01.L1.2540.2403V.2,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13438,8/27/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.4,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13439,8/12/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.5,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13440,8/12/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.6,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13441,8/12/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.7,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13442,8/12/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.8,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13443,8/12/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.CT10,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13444,1/8/2018
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.CT4,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13445,11/24/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.CT5,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13446,10/14/2017
Gạch 25x40 MS 2403V loại 1,01.L1.2540.2403V.CT6,01.L1.2540.2403V,Viên,Hộp,10.00,M2,10.00,Vật tư hàng hóa,01.25X40,NCC0067,GACH,,0%,,quy cách gạch 25x40,2540,13447,10/14/2017
